{'delta': 0.026169999999999999, 'M1': 0.5, 'r2': 0.519}
{'delta': 0.026169999999999999, 'M1': 0.5, 'r2': 0.519}
{'delta': 0.026169999999999999, 'M1': 0.5, 'r2': 0.519}
{'delta': 0.026169999999999999, 'M1': 0.5, 'r2': 0.519}
{'delta': 0.026169999999999999, 'M1': 0.5, 'r2': 0.519}
{'delta': 0.026169999999999999, 'M1': 0.5, 'r2': 0.519}
{'delta': 0.026169999999999999, 'M1': 0.5, 'r2': 0.519}
{'delta': 0.026169999999999999, 'M1': 0.5, 'r2': 0.519}
{'delta': 0.026169999999999999, 'M1': 0.5, 'r2': 0.519}
{'delta': 0.026169999999999999, 'M1': 0.5, 'r2': 0.519}
{'delta': 0.026169999999999999, 'M1': 0.5, 'r2': 0.519}
{'delta': 0.026169999999999999, 'M1': 0.5, 'r2': 0.519}
{'delta': 0.026159999999999999, 'M1': 0.5, 'r2': 0.52}
{'delta': 0.026159999999999999, 'M1': 0.5, 'r2': 0.52}
{'delta': 0.026159999999999999, 'M1': 0.5, 'r2': 0.52}
{'delta': 0.026159999999999999, 'M1': 0.5, 'r2': 0.52}
{'delta': 0.026159999999999999, 'M1': 0.5, 'r2': 0.52}
{'delta': 0.026159999999999999, 'M1': 0.5, 'r2': 0.52}
{'delta': 0.026159999999999999, 'M1': 0.5, 'r2': 0.52}
{'delta': 0.026159999999999999, 'M1': 0.5, 'r2': 0.52}
{'delta': 0.026159999999999999, 'M1': 0.5, 'r2': 0.52}
{'delta': 0.026159999999999999, 'M1': 0.5, 'r2': 0.52}
{'delta': 0.026159999999999999, 'M1': 0.5, 'r2': 0.52}
{'delta': 0.026159999999999999, 'M1': 0.5, 'r2': 0.52}
{'delta': 0.026159999999999999, 'M1': 0.5, 'r2': 0.52}
{'delta': 0.026159999999999999, 'M1': 0.5, 'r2': 0.52}
{'delta': 0.026159999999999999, 'M1': 0.5, 'r2': 0.52}
{'delta': 0.02615, 'M1': 0.5, 'r2': 0.521}
{'delta': 0.02615, 'M1': 0.5, 'r2': 0.521}
{'delta': 0.02615, 'M1': 0.5, 'r2': 0.521}
{'delta': 0.02615, 'M1': 0.5, 'r2': 0.521}
{'delta': 0.02615, 'M1': 0.5, 'r2': 0.521}
{'delta': 0.02615, 'M1': 0.5, 'r2': 0.521}
{'delta': 0.02615, 'M1': 0.5, 'r2': 0.521}
{'delta': 0.02615, 'M1': 0.5, 'r2': 0.521}
{'delta': 0.02615, 'M1': 0.5, 'r2': 0.521}
{'delta': 0.02615, 'M1': 0.5, 'r2': 0.521}
{'delta': 0.02615, 'M1': 0.5, 'r2': 0.521}
{'delta': 0.02615, 'M1': 0.5, 'r2': 0.521}
{'delta': 0.02615, 'M1': 0.5, 'r2': 0.521}
{'delta': 0.02615, 'M1': 0.5, 'r2': 0.521}
{'delta': 0.02615, 'M1': 0.5, 'r2': 0.521}
{'delta': 0.02614, 'M1': 0.5, 'r2': 0.522}
{'delta': 0.02614, 'M1': 0.5, 'r2': 0.522}
{'delta': 0.02614, 'M1': 0.5, 'r2': 0.522}
{'delta': 0.02614, 'M1': 0.5, 'r2': 0.522}
{'delta': 0.02614, 'M1': 0.5, 'r2': 0.522}
{'delta': 0.02614, 'M1': 0.5, 'r2': 0.522}
{'delta': 0.02614, 'M1': 0.5, 'r2': 0.522}
{'delta': 0.02614, 'M1': 0.5, 'r2': 0.522}
{'delta': 0.02614, 'M1': 0.5, 'r2': 0.522}
{'delta': 0.02614, 'M1': 0.5, 'r2': 0.522}
{'delta': 0.02614, 'M1': 0.5, 'r2': 0.522}
{'delta': 0.02614, 'M1': 0.5, 'r2': 0.522}
{'delta': 0.02614, 'M1': 0.5, 'r2': 0.522}
{'delta': 0.02614, 'M1': 0.5, 'r2': 0.522}
{'delta': 0.02614, 'M1': 0.5, 'r2': 0.522}
{'delta': 0.02613, 'M1': 0.5, 'r2': 0.523}
{'delta': 0.02613, 'M1': 0.5, 'r2': 0.523}
{'delta': 0.02613, 'M1': 0.5, 'r2': 0.523}
{'delta': 0.02613, 'M1': 0.5, 'r2': 0.523}
{'delta': 0.02613, 'M1': 0.5, 'r2': 0.523}
{'delta': 0.02613, 'M1': 0.5, 'r2': 0.523}
{'delta': 0.02613, 'M1': 0.5, 'r2': 0.523}
{'delta': 0.02613, 'M1': 0.5, 'r2': 0.523}
{'delta': 0.02613, 'M1': 0.5, 'r2': 0.523}
{'delta': 0.02613, 'M1': 0.5, 'r2': 0.523}
{'delta': 0.02613, 'M1': 0.5, 'r2': 0.523}
{'delta': 0.02613, 'M1': 0.5, 'r2': 0.523}
{'delta': 0.02613, 'M1': 0.5, 'r2': 0.523}
{'delta': 0.02613, 'M1': 0.5, 'r2': 0.523}
{'delta': 0.02613, 'M1': 0.5, 'r2': 0.523}
{'delta': 0.026120000000000001, 'M1': 0.5, 'r2': 0.524}
{'delta': 0.026120000000000001, 'M1': 0.5, 'r2': 0.524}
{'delta': 0.026120000000000001, 'M1': 0.5, 'r2': 0.524}
