{'delta': 0.031609999999999999, 'M1': 0.1, 'r2': 0.515}
{'delta': 0.031609999999999999, 'M1': 0.1, 'r2': 0.515}
{'delta': 0.031609999999999999, 'M1': 0.1, 'r2': 0.515}
{'delta': 0.031609999999999999, 'M1': 0.1, 'r2': 0.515}
{'delta': 0.031609999999999999, 'M1': 0.1, 'r2': 0.515}
{'delta': 0.031609999999999999, 'M1': 0.1, 'r2': 0.515}
{'delta': 0.031609999999999999, 'M1': 0.1, 'r2': 0.515}
{'delta': 0.031609999999999999, 'M1': 0.1, 'r2': 0.515}
{'delta': 0.031609999999999999, 'M1': 0.1, 'r2': 0.515}
{'delta': 0.031609999999999999, 'M1': 0.1, 'r2': 0.515}
{'delta': 0.031609999999999999, 'M1': 0.1, 'r2': 0.515}
{'delta': 0.031609999999999999, 'M1': 0.1, 'r2': 0.515}
{'delta': 0.031579999999999997, 'M1': 0.1, 'r2': 0.516}
{'delta': 0.031579999999999997, 'M1': 0.1, 'r2': 0.516}
{'delta': 0.031579999999999997, 'M1': 0.1, 'r2': 0.516}
{'delta': 0.031579999999999997, 'M1': 0.1, 'r2': 0.516}
{'delta': 0.031579999999999997, 'M1': 0.1, 'r2': 0.516}
{'delta': 0.031579999999999997, 'M1': 0.1, 'r2': 0.516}
{'delta': 0.031579999999999997, 'M1': 0.1, 'r2': 0.516}
{'delta': 0.031579999999999997, 'M1': 0.1, 'r2': 0.516}
{'delta': 0.031579999999999997, 'M1': 0.1, 'r2': 0.516}
{'delta': 0.031579999999999997, 'M1': 0.1, 'r2': 0.516}
{'delta': 0.031579999999999997, 'M1': 0.1, 'r2': 0.516}
{'delta': 0.031579999999999997, 'M1': 0.1, 'r2': 0.516}
{'delta': 0.031579999999999997, 'M1': 0.1, 'r2': 0.516}
{'delta': 0.031579999999999997, 'M1': 0.1, 'r2': 0.516}
{'delta': 0.031579999999999997, 'M1': 0.1, 'r2': 0.516}
{'delta': 0.031539999999999999, 'M1': 0.1, 'r2': 0.517}
{'delta': 0.031539999999999999, 'M1': 0.1, 'r2': 0.517}
{'delta': 0.031539999999999999, 'M1': 0.1, 'r2': 0.517}
{'delta': 0.031539999999999999, 'M1': 0.1, 'r2': 0.517}
{'delta': 0.031539999999999999, 'M1': 0.1, 'r2': 0.517}
{'delta': 0.031539999999999999, 'M1': 0.1, 'r2': 0.517}
{'delta': 0.031539999999999999, 'M1': 0.1, 'r2': 0.517}
{'delta': 0.031539999999999999, 'M1': 0.1, 'r2': 0.517}
{'delta': 0.031539999999999999, 'M1': 0.1, 'r2': 0.517}
{'delta': 0.031539999999999999, 'M1': 0.1, 'r2': 0.517}
{'delta': 0.031539999999999999, 'M1': 0.1, 'r2': 0.517}
{'delta': 0.031539999999999999, 'M1': 0.1, 'r2': 0.517}
{'delta': 0.031539999999999999, 'M1': 0.1, 'r2': 0.517}
{'delta': 0.031539999999999999, 'M1': 0.1, 'r2': 0.517}
{'delta': 0.031539999999999999, 'M1': 0.1, 'r2': 0.517}
{'delta': 0.031510000000000003, 'M1': 0.1, 'r2': 0.518}
{'delta': 0.031510000000000003, 'M1': 0.1, 'r2': 0.518}
{'delta': 0.031510000000000003, 'M1': 0.1, 'r2': 0.518}
{'delta': 0.031510000000000003, 'M1': 0.1, 'r2': 0.518}
